Sl. No,Change ID,Event Number,Timestamp,Impacted CIs,Description of change,Planned duration (Min),Change Category,Change Type,CI Category,CI Subcategory,CI Classification,Approval required,Is Approved,Is downtime required,Is restart required,Actual Duration,Change Status,Remarks
18,CH0000818,,2024-06-29 21:57:39,S3 Bucket,Version upgrade,30,Normal,Major,Systems,Server,S3 Bucket,Yes,5 out of 5,Yes,Yes,29,implemented and closed,Change is succesfully implemented and closed
19,CH0000819,,2024-09-26 21:54:06,Database Server 01,Configuration changes,67,Normal,Medium,Systems,Server,Database Server 01,Yes,4 out of 5,No,No,62,implemented and closed,Change is succesfully implemented and closed
20,CH0000820,,2024-07-15 10:49:15,VPN Nat Gateway,Version upgrade,41,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,Yes,Yes,51,implemented and closed,Change is succesfully implemented and closed
21,CH0000821,,2024-11-15 14:28:00,Web Application Firewall,Version upgrade,31,Normal,Major,Systems,Server,Web Application Firewall,Yes,0 out of 5,Yes,Yes,25,failed / Cancelled,"on time preps are incomplete, no approvals"
22,CH0000822,,2024-11-27 09:42:42,Role,Version upgrade,31,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,24,implemented and closed,Change is succesfully implemented and closed
23,CH0000823,,2024-03-01 10:58:46,"Middleware Application 01, Middleware Application 02",Add New requirements / Features,110,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,119,implemented and closed,Change is succesfully implemented and closed
24,CH0000824,,2024-08-05 08:38:27,Database Server 02,Add New requirements / Features,96,Normal,Major,Systems,Server,Database Server 02,Yes,4 out of 5,Yes,Yes,96,implemented and closed,Change is succesfully implemented and closed
25,CH0000825,,2024-10-27 21:56:14,Middleware Application 02,OS upgrade,114,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,109,implemented and closed,Change is succesfully implemented and closed
26,CH0000826,,2024-06-23 08:18:54,"Bastion Host, Route 53",Access permissions,66,Normal,Medium,Systems,Server,Route 53,Yes,3 out of 5,No,No,69,implemented and closed,Change is succesfully implemented and closed
27,CH0000827,,2024-09-01 14:40:33,Bastion Host,OS upgrade,100,Normal,Major,Systems,Server,Bastion Host,Yes,5 out of 5,Yes,Yes,90,implemented and closed,Change is succesfully implemented and closed
28,CH0000828,,2024-12-27 20:07:16,Middleware Application 02,OS upgrade,110,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,104,implemented and closed,Change is succesfully implemented and closed
29,CH0000829,,2024-09-06 06:03:01,"Database Server 01, IDEAWORKS application, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Add New requirements / Features,141,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,148,implemented and closed,Change is succesfully implemented and closed
30,CH0000830,,2024-07-15 04:58:08,"Database Server 01, Middleware Application 01, Web Application 02",Configuration changes,66,Normal,Medium,Systems,Server,Middleware Application 01,Yes,5 out of 5,No,No,61,implemented and closed,Change is succesfully implemented and closed
31,CH0000831,,2025-01-25 08:29:43,Direct Connect,Version upgrade,39,Normal,Major,Systems,Server,Direct Connect,Yes,5 out of 5,Yes,Yes,42,implemented and closed,Change is succesfully implemented and closed
32,CH0000832,,2025-01-16 16:12:28,Internet Gateway,Version upgrade,37,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,28,implemented and closed,Change is succesfully implemented and closed
33,CH0000833,,2025-01-16 04:47:38,Route 53,Version upgrade,30,Normal,Major,Systems,Server,Route 53,Yes,3 out of 5,Yes,Yes,20,Rolled back,post implementation checks failed
34,CH0000834,,2024-08-12 22:48:36,Active Directory services,Configuration changes,44,Normal,Medium,Systems,Server,Active Directory services,Yes,5 out of 5,No,No,42,implemented and closed,Change is succesfully implemented and closed
35,CH0000835,,2024-06-13 13:39:58,Database Server 01,Add New requirements / Features,101,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,96,implemented and closed,Change is succesfully implemented and closed
36,CH0000836,,2024-12-29 16:19:33,S3 Bucket,Version upgrade,39,Normal,Major,Systems,Server,S3 Bucket,Yes,5 out of 5,Yes,Yes,43,implemented and closed,Change is succesfully implemented and closed
37,CH0000837,,2024-10-31 11:02:33,Route 53,Configuration changes,42,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,38,implemented and closed,Change is succesfully implemented and closed
38,CH0000838,,2024-11-28 19:32:52,Role,Version upgrade,32,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,23,implemented and closed,Change is succesfully implemented and closed
39,CH0000839,,2024-05-29 08:31:08,"Bastion Host, Direct Connect, Web Application Firewall",Access permissions,72,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,75,Rolled back,post implementation checks failed
40,CH0000840,,2024-12-05 13:56:53,"Middleware Application 01, Middleware Application 02",Configuration changes,63,Normal,Medium,Systems,Server,Middleware Application 02,Yes,2 out of 5,No,No,72,failed / Cancelled,"on time preps are incomplete, no approvals"
41,CH0000841,,2024-03-13 20:52:46,Middleware Application 02,Configuration changes,62,Normal,Medium,Systems,Server,Middleware Application 02,Yes,3 out of 5,No,No,71,implemented and closed,Change is succesfully implemented and closed
42,CH0000842,,2024-03-30 03:57:25,S3 Bucket,Configuration changes,33,Normal,Medium,Systems,Server,S3 Bucket,Yes,4 out of 5,No,No,34,implemented and closed,Change is succesfully implemented and closed
43,CH0000843,,2024-12-17 07:53:05,"Bastion Host, Direct Connect, Web Application Firewall",Add New requirements / Features,115,Normal,Major,Systems,Server,Bastion Host,Yes,5 out of 5,Yes,Yes,112,implemented and closed,Change is succesfully implemented and closed
44,CH0000844,,2024-02-03 18:22:30,IAM Role,Access permissions,30,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,39,implemented and closed,Change is succesfully implemented and closed
45,CH0000845,,2024-07-26 19:45:26,VPN Gateway,Access permissions,70,Normal,Medium,Systems,Server,VPN Gateway,Yes,3 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
46,CH0000846,,2024-08-24 15:58:29,"Direct Connect, Route 53",Configuration changes,79,Normal,Medium,Systems,Server,Direct Connect,Yes,3 out of 5,No,No,79,implemented and closed,Change is succesfully implemented and closed
47,CH0000847,,2025-01-09 01:51:06,Middleware Application 01,Add New requirements / Features,115,Normal,Major,Systems,Server,Middleware Application 01,Yes,3 out of 5,Yes,Yes,125,implemented and closed,Change is succesfully implemented and closed
48,CH0000848,,2024-03-27 17:33:38,"Application Load Balancer, Bastion Host, Direct Connect, Web Application Firewall",Configuration changes,87,Normal,Medium,Systems,Server,Application Load Balancer,Yes,3 out of 5,No,No,93,implemented and closed,Change is succesfully implemented and closed
49,CH0000849,,2024-06-25 08:16:33,"Middleware Application 01, Middleware Application 02, Web Application 01",Access permissions,76,Normal,Medium,Systems,Server,Middleware Application 02,Yes,4 out of 5,No,No,72,implemented and closed,Change is succesfully implemented and closed
50,CH0000850,,2024-05-16 00:52:48,Role,Add New requirements / Features,75,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,82,implemented and closed,Change is succesfully implemented and closed
51,CH0000851,,2024-03-13 01:17:03,Cloud HSM,Add New requirements / Features,70,Normal,Major,Systems,Server,Cloud HSM,Yes,4 out of 5,Yes,Yes,77,implemented and closed,Change is succesfully implemented and closed
52,CH0000852,,2024-09-17 13:21:41,Route 53,Configuration changes,44,Normal,Medium,Systems,Server,Route 53,Yes,3 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
53,CH0000853,,2024-05-05 05:17:10,Direct Connect,Configuration changes,83,Normal,Medium,Systems,Server,Direct Connect,Yes,4 out of 5,No,No,75,Rolled back,post implementation checks failed
54,CH0000854,,2024-08-20 09:27:10,IDEAWORKS application,App upgradation,116,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,122,implemented and closed,Change is succesfully implemented and closed
55,CH0000855,,2025-01-15 02:39:54,IAM Role,Add New requirements / Features,73,Normal,Major,Systems,Server,IAM Role,Yes,4 out of 5,Yes,Yes,83,Rolled back,post implementation checks failed
56,CH0000856,,2024-06-09 15:11:09,Direct Connect,Add New requirements / Features,60,Normal,Major,Systems,Server,Direct Connect,Yes,5 out of 5,Yes,Yes,64,implemented and closed,Change is succesfully implemented and closed
57,CH0000857,,2024-04-02 03:49:49,"IDEAWORKS application, Middleware Application 01",Configuration changes,63,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,4 out of 5,No,No,60,implemented and closed,Change is succesfully implemented and closed
58,CH0000858,,2024-12-03 03:18:12,"Direct Connect, Web Application Firewall",Access permissions,71,Normal,Medium,Systems,Server,Web Application Firewall,Yes,3 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
59,CH0000859,,2024-07-24 00:21:09,VPN Nat Gateway,Access permissions,41,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,45,implemented and closed,Change is succesfully implemented and closed
60,CH0000860,,2025-01-21 02:29:58,Middleware Application 01,Configuration changes,85,Normal,Medium,Systems,Server,Middleware Application 01,Yes,4 out of 5,No,No,82,implemented and closed,Change is succesfully implemented and closed
61,CH0000861,,2024-02-22 19:35:56,Internet Gateway,Add New requirements / Features,61,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,57,implemented and closed,Change is succesfully implemented and closed
62,CH0000862,,2024-07-17 03:33:55,IAM Role,Configuration changes,43,Normal,Medium,Systems,Server,IAM Role,Yes,4 out of 5,No,No,40,implemented and closed,Change is succesfully implemented and closed
63,CH0000863,,2024-07-01 23:45:03,"Direct Connect, Web Application Firewall",Configuration changes,78,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,72,Rolled back,post implementation checks failed
64,CH0000864,,2024-09-05 07:31:47,"Bastion Host, Direct Connect",Add New requirements / Features,109,Normal,Major,Systems,Server,Bastion Host,Yes,2 out of 5,Yes,Yes,109,failed / Cancelled,"on time preps are incomplete, no approvals"
65,CH0000865,,2024-08-13 05:17:08,Direct Connect,Add New requirements / Features,60,Normal,Major,Systems,Server,Direct Connect,Yes,3 out of 5,Yes,Yes,50,implemented and closed,Change is succesfully implemented and closed
66,CH0000866,,2024-09-20 08:57:38,Web Application 02,Add New requirements / Features,119,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,117,implemented and closed,Change is succesfully implemented and closed
67,CH0000867,,2024-05-19 14:51:45,Cloud HSM,Configuration changes,41,Normal,Medium,Systems,Server,Cloud HSM,Yes,5 out of 5,No,No,51,Rolled back,post implementation checks failed
68,CH0000868,,2024-06-28 20:25:21,Route 53,Configuration changes,31,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,25,implemented and closed,Change is succesfully implemented and closed
69,CH0000869,,2024-07-15 10:01:27,Cloudwatch,Configuration changes,30,Normal,Medium,Systems,Server,Cloudwatch,Yes,3 out of 5,No,No,28,implemented and closed,Change is succesfully implemented and closed
70,CH0000870,,2024-06-20 21:04:17,Endpoints,Version upgrade,44,Normal,Major,Systems,Server,Endpoints,Yes,4 out of 5,Yes,Yes,53,implemented and closed,Change is succesfully implemented and closed
71,CH0000871,,2024-07-07 02:41:32,IAM Role,Version upgrade,45,Normal,Major,Systems,Server,IAM Role,Yes,4 out of 5,Yes,Yes,55,implemented and closed,Change is succesfully implemented and closed
72,CH0000872,,2024-10-06 02:05:06,"Direct Connect, VPN Nat Gateway",Access permissions,32,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,28,implemented and closed,Change is succesfully implemented and closed
73,CH0000873,,2024-09-01 21:17:14,Web Application 01,App upgradation,106,Normal,Major,Systems,Server,Web Application 01,Yes,5 out of 5,Yes,Yes,113,implemented and closed,Change is succesfully implemented and closed
74,CH0000874,,2024-12-29 16:07:15,Cloud HSM,Configuration changes,37,Normal,Medium,Systems,Server,Cloud HSM,Yes,4 out of 5,No,No,46,implemented and closed,Change is succesfully implemented and closed
75,CH0000875,,2024-04-20 07:11:36,Database Server 02,OS upgrade,120,Normal,Major,Systems,Server,Database Server 02,Yes,4 out of 5,Yes,Yes,123,implemented and closed,Change is succesfully implemented and closed
76,CH0000876,,2024-05-17 23:39:02,Internet Gateway,Access permissions,72,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
77,CH0000877,,2025-01-12 16:32:17,Web Application Firewall,Access permissions,70,Normal,Medium,Systems,Server,Web Application Firewall,Yes,5 out of 5,No,No,70,implemented and closed,Change is succesfully implemented and closed
78,CH0000878,,2025-01-16 23:39:47,Route 53,Add New requirements / Features,70,Normal,Major,Systems,Server,Route 53,Yes,3 out of 5,Yes,Yes,63,Rolled back,post implementation checks failed
79,CH0000879,,2024-11-24 20:14:45,Route 53,Configuration changes,30,Normal,Medium,Systems,Server,Route 53,Yes,4 out of 5,No,No,40,implemented and closed,Change is succesfully implemented and closed
80,CH0000880,,2024-11-16 21:32:10,"Application Load Balancer, Web Application Firewall",Configuration changes,73,Normal,Medium,Systems,Server,Application Load Balancer,Yes,5 out of 5,No,No,78,implemented and closed,Change is succesfully implemented and closed
81,CH0000881,,2024-07-17 00:05:13,Internet Gateway,Access permissions,70,Normal,Medium,Systems,Server,Internet Gateway,Yes,5 out of 5,No,No,77,implemented and closed,Change is succesfully implemented and closed
82,CH0000882,,2024-09-19 12:22:38,IDEAWORKS application,App upgradation,98,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,103,implemented and closed,Change is succesfully implemented and closed
83,CH0000883,,2024-03-03 10:29:22,"Web Application 01, Web Application 02",Add New requirements / Features,117,Normal,Major,Systems,Server,Web Application 02,Yes,3 out of 5,Yes,Yes,112,implemented and closed,Change is succesfully implemented and closed
84,CH0000884,,2024-04-29 18:16:22,VPN Nat Gateway,Version upgrade,43,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,Yes,Yes,47,implemented and closed,Change is succesfully implemented and closed
85,CH0000885,,2024-03-18 22:24:51,Active Directory services,Configuration changes,40,Normal,Medium,Systems,Server,Active Directory services,Yes,4 out of 5,No,No,41,implemented and closed,Change is succesfully implemented and closed
86,CH0000886,,2024-03-22 00:18:21,Direct Connect,Version upgrade,44,Normal,Major,Systems,Server,Direct Connect,Yes,3 out of 5,Yes,Yes,38,implemented and closed,Change is succesfully implemented and closed
87,CH0000887,,2024-04-16 22:55:43,Database Server 02,App upgradation,109,Normal,Major,Systems,Server,Database Server 02,Yes,3 out of 5,Yes,Yes,118,implemented and closed,Change is succesfully implemented and closed
88,CH0000888,,2024-03-21 08:16:52,Web Application 02,App upgradation,119,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,124,implemented and closed,Change is succesfully implemented and closed
89,CH0000889,,2024-05-31 13:22:14,Active Directory services,Add New requirements / Features,73,Normal,Major,Systems,Server,Active Directory services,Yes,5 out of 5,Yes,Yes,66,implemented and closed,Change is succesfully implemented and closed
90,CH0000890,,2024-08-02 02:06:27,Endpoints,Version upgrade,45,Normal,Major,Systems,Server,Endpoints,Yes,3 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
91,CH0000891,,2024-08-15 07:18:55,Cloud HSM,Add New requirements / Features,75,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,72,implemented and closed,Change is succesfully implemented and closed
92,CH0000892,,2024-03-22 17:52:52,Database Server 02,Add New requirements / Features,94,Normal,Major,Systems,Server,Database Server 02,Yes,5 out of 5,Yes,Yes,93,implemented and closed,Change is succesfully implemented and closed
93,CH0000893,,2024-12-31 18:30:46,VPN Nat Gateway,Configuration changes,37,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,38,Rolled back,post implementation checks failed
94,CH0000894,,2025-01-21 05:38:44,Endpoints,Version upgrade,45,Normal,Major,Systems,Server,Endpoints,Yes,3 out of 5,Yes,Yes,54,Rolled back,post implementation checks failed
95,CH0000895,,2024-08-04 18:30:05,Web Application Firewall,Add New requirements / Features,66,Normal,Major,Systems,Server,Web Application Firewall,Yes,5 out of 5,Yes,Yes,60,implemented and closed,Change is succesfully implemented and closed
96,CH0000896,,2024-08-28 21:27:56,"IDEAWORKS application, Middleware Application 02, Web Application 02",Add New requirements / Features,94,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,92,implemented and closed,Change is succesfully implemented and closed
97,CH0000897,,2024-08-28 00:52:28,"VPN Gateway, Web Application Firewall",Add New requirements / Features,60,Normal,Major,Systems,Server,VPN Gateway,Yes,4 out of 5,Yes,Yes,56,implemented and closed,Change is succesfully implemented and closed
98,CH0000898,,2024-06-07 13:44:54,IDEAWORKS application,App upgradation,108,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,118,implemented and closed,Change is succesfully implemented and closed
99,CH0000899,,2025-01-26 07:44:50,Cloudwatch,Add New requirements / Features,63,Normal,Major,Systems,Server,Cloudwatch,Yes,5 out of 5,Yes,Yes,60,implemented and closed,Change is succesfully implemented and closed
100,CH0000900,,2024-12-18 21:07:44,Active Directory services,Add New requirements / Features,69,Normal,Major,Systems,Server,Active Directory services,Yes,4 out of 5,Yes,Yes,62,implemented and closed,Change is succesfully implemented and closed
101,CH0000901,,2024-11-10 16:26:53,Web Application 01,Add New requirements / Features,91,Normal,Major,Systems,Server,Web Application 01,Yes,3 out of 5,Yes,Yes,86,implemented and closed,Change is succesfully implemented and closed
102,CH0000902,,2024-11-22 09:02:30,Internet Gateway,Version upgrade,39,Normal,Major,Systems,Server,Internet Gateway,Yes,3 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
103,CH0000903,,2024-03-27 04:28:41,"Bastion Host, Web Application Firewall",Access permissions,63,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,69,implemented and closed,Change is succesfully implemented and closed
104,CH0000904,,2024-09-04 17:54:35,"Middleware Application 01, Middleware Application 02, Web Application 01",Access permissions,74,Normal,Medium,Systems,Server,Middleware Application 02,Yes,4 out of 5,No,No,66,implemented and closed,Change is succesfully implemented and closed
105,CH0000905,,2024-11-24 11:32:25,VPN Gateway,Version upgrade,42,Normal,Major,Systems,Server,VPN Gateway,Yes,5 out of 5,Yes,Yes,46,implemented and closed,Change is succesfully implemented and closed
106,CH0000906,,2024-08-06 10:10:30,Web Application 01,App upgradation,102,Normal,Major,Systems,Server,Web Application 01,Yes,5 out of 5,Yes,Yes,102,Rolled back,post implementation checks failed
107,CH0000907,,2024-10-13 02:14:11,Cloud HSM,Version upgrade,35,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,39,Rolled back,post implementation checks failed
108,CH0000908,,2024-03-21 07:39:13,"Application Load Balancer, Bastion Host, Direct Connect, Web Application Firewall",Configuration changes,84,Normal,Medium,Systems,Server,Application Load Balancer,Yes,4 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
109,CH0000909,,2025-01-12 22:02:20,Cloud HSM,Version upgrade,43,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,53,implemented and closed,Change is succesfully implemented and closed
110,CH0000910,,2024-03-03 11:54:52,Web Application 02,Configuration changes,76,Normal,Medium,Systems,Server,Web Application 02,Yes,4 out of 5,No,No,71,implemented and closed,Change is succesfully implemented and closed
111,CH0000911,,2024-07-25 20:48:03,"Database Server 01, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Add New requirements / Features,132,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,139,Rolled back,post implementation checks failed
112,CH0000912,,2025-01-16 08:37:56,Cloudwatch,Configuration changes,32,Normal,Medium,Systems,Server,Cloudwatch,Yes,4 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
113,CH0000913,,2024-07-29 18:07:09,Web Application Firewall,Add New requirements / Features,72,Normal,Major,Systems,Server,Web Application Firewall,Yes,4 out of 5,Yes,Yes,74,Rolled back,post implementation checks failed
114,CH0000914,,2024-11-02 09:40:02,Role,Version upgrade,31,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,30,Rolled back,post implementation checks failed
115,CH0000915,,2024-03-29 05:40:37,IAM Role,Add New requirements / Features,69,Normal,Major,Systems,Server,IAM Role,Yes,4 out of 5,Yes,Yes,61,implemented and closed,Change is succesfully implemented and closed
116,CH0000916,,2024-06-07 06:21:53,"Direct Connect, Route 53",Configuration changes,63,Normal,Medium,Systems,Server,Direct Connect,Yes,5 out of 5,No,No,62,implemented and closed,Change is succesfully implemented and closed
117,CH0000917,,2024-03-05 00:25:22,"Direct Connect, Route 53",Access permissions,71,Normal,Medium,Systems,Server,Direct Connect,Yes,4 out of 5,No,No,72,implemented and closed,Change is succesfully implemented and closed
118,CH0000918,,2024-03-20 15:16:30,VPN Nat Gateway,Configuration changes,43,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,45,implemented and closed,Change is succesfully implemented and closed
119,CH0000919,,2024-03-25 07:26:26,Database Server 01,Add New requirements / Features,119,Normal,Major,Systems,Server,Database Server 01,Yes,3 out of 5,Yes,Yes,125,implemented and closed,Change is succesfully implemented and closed
120,CH0000920,,2024-03-27 04:00:34,"VPN Nat Gateway, Web Application Firewall",Add New requirements / Features,66,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,Yes,Yes,66,Rolled back,post implementation checks failed
121,CH0000921,,2024-06-30 15:07:15,Role,Add New requirements / Features,65,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,70,Rolled back,post implementation checks failed
122,CH0000922,,2024-04-26 17:07:09,Web Application Firewall,Add New requirements / Features,70,Normal,Major,Systems,Server,Web Application Firewall,Yes,5 out of 5,Yes,Yes,72,implemented and closed,Change is succesfully implemented and closed
123,CH0000923,,2024-11-19 10:45:39,Endpoints,Configuration changes,36,Normal,Medium,Systems,Server,Endpoints,Yes,3 out of 5,No,No,39,implemented and closed,Change is succesfully implemented and closed
124,CH0000924,,2024-06-08 02:59:15,"VPN Nat Gateway, Web Application Firewall",Configuration changes,30,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,21,implemented and closed,Change is succesfully implemented and closed
125,CH0000925,,2024-11-10 19:41:14,Role,Version upgrade,31,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,24,implemented and closed,Change is succesfully implemented and closed
126,CH0000926,,2024-12-06 11:15:21,"Database Server 01, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Access permissions,106,Normal,Medium,Systems,Server,Database Server 01,Yes,5 out of 5,No,No,104,implemented and closed,Change is succesfully implemented and closed
127,CH0000927,,2024-05-27 10:55:25,"Direct Connect, Web Application Firewall",Add New requirements / Features,62,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,63,implemented and closed,Change is succesfully implemented and closed
128,CH0000928,,2024-10-08 14:02:19,Application Load Balancer,Version upgrade,43,Normal,Major,Systems,Server,Application Load Balancer,Yes,3 out of 5,Yes,Yes,53,implemented and closed,Change is succesfully implemented and closed
129,CH0000929,,2024-04-30 14:59:25,Cloudwatch,Add New requirements / Features,64,Normal,Major,Systems,Server,Cloudwatch,Yes,5 out of 5,Yes,Yes,69,implemented and closed,Change is succesfully implemented and closed
130,CH0000930,,2024-11-27 23:30:16,Internet Gateway,Configuration changes,62,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,72,implemented and closed,Change is succesfully implemented and closed
131,CH0000931,,2024-12-03 04:15:58,VPN Nat Gateway,Access permissions,42,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,41,implemented and closed,Change is succesfully implemented and closed
